institution,institution_cubes_name,institution_full_name,continent,country,state,openapc_data_dir,ror_id,institution_type,institution_group,info_url,comment
ZHAW Zurich University of Applied Sciences,zhaw,ZHAW Zurich University of Applied Sciences,EUROPE,CHE,CH.ZH,zhaw,https://ror.org/05pmsvm27,NA,NA,https://www.zhaw.ch/en/library/writing-publishing/publishing-and-open-access/oa-at-the-zhaw/#c112481,NA
"WSL - Swiss Federal Institute for Forest, Snow and Landscape Research",wsl,"WSL - Swiss Federal Institute for Forest, Snow and Landscape Research",EUROPE,CHE,CH.ZH,NA,https://ror.org/04bs5yc70,NA,NA,https://www.wsl.ch/en/index.html,NA
PSI - Paul Scherrer Institute,psi,PSI - Paul Scherrer Institute,EUROPE,CHE,CH.AG,NA,https://ror.org/03eh3y714,NA,NA,https://www.psi.ch/en,NA
Zurich University of the Arts,zhdk,Zurich University of the Arts,EUROPE,CHE,CH.ZH,zhdk,https://ror.org/05r0ap620,NA,NA,https://www.zhdk.ch/miz/miz-oa,NA
Johannes Kepler University Linz,linz_u,Johannes Kepler University Linz,EUROPE,AUT,AUT-OO,unilinz,https://ror.org/052r2xn60,NA,NA,https://www.jku.at/en/library/service/bibliometrics-and-publication-support/open-access-publishing/publication-fund/,NA
Paul-Drude-Institut für Festkörperelektronik,pdi,Paul-Drude-Institut für Festkörperelektronik,EUROPE,DEU,BE,pdi,https://ror.org/01mk1hj86,INS,WGL,http://www.pdi-berlin.de/home/,NA
Magdeburg U,magdeburg_u,Otto-von-Guericke-Universität Magdeburg,EUROPE,DEU,ST,unimagdeburg,https://ror.org/00ggpsq73,HEI,NA,https://www.ub.ovgu.de/en/Publication+_+Open+Access/Open+Access/Publication+Fund+for+Articles.html,NA
AgroParisTech,aggroparistech,AgroParisTech,EUROPE,FRA,FR-IDF,couperin/agroparistech,https://ror.org/02kbmgc12,NA,NA,NA,NA
ENGEES,engees,École nationale du génie de l'eau et de l'environnement de Strasbourg,EUROPE,FRA,FR-GES,couperin/engees,https://ror.org/02jhjzd11,NA,NA,NA,NA
ENSTA Bretagne,ensta_bretagne,ENSTA Bretagne,EUROPE,FRA,FR-BRE,couperin/ensta-bretagne,https://ror.org/059n54003,NA,NA,NA,NA
Université de Haute-Alsace,haute_alsace_u,Université de Haute-Alsace,EUROPE,FRA,FR-GES,couperin/haute-alsace,https://ror.org/04k8k6n84,NA,NA,NA,NA
IFREMER,ifremer,Institut Français de Recherche pour l'Exploitation de la Mer,EUROPE,FRA,FR-BRE,couperin/ifremer,https://ror.org/044jxhp58,NA,NA,NA,NA
Université du Havre,havre_u,Université du Havre,EUROPE,FRA,FR-NOR,couperin/le-havre,https://ror.org/05v509s40,NA,NA,NA,NA
Université Paris 1 Panthéon-Sorbonne,paris_1_u,Université Paris 1 Panthéon-Sorbonne,EUROPE,FRA,FR-IDF,couperin/paris-1,https://ror.org/002t25c44,NA,NA,NA,NA
Université Paris Nanterre,paris_nanterre_u,Université Paris Nanterre,EUROPE,FRA,FR-IDF,couperin/paris-nanterre,https://ror.org/013bkhk48,NA,NA,NA,NA
Université de Perpignan - Via Domitia,perpignan_u,Université de Perpignan - Via Domitia,EUROPE,FRA,FR-OCC,couperin/perpignan,https://ror.org/03am2jy38,NA,NA,NA,NA
Sciences Po Paris,scpo_paris,Sciences Po Paris,EUROPE,FRA,FR-IDF,couperin/scpo-paris,https://ror.org/05fe7ax82,NA,NA,NA,NA
Université de technologie de Troyes,troyes_u,Université de technologie de Troyes,EUROPE,FRA,FR-GES,couperin/utt,https://ror.org/01qhqcj41,NA,NA,NA,NA
Université Gustave Eiffel,gustave_eiffel_u,Université Gustave Eiffel,EUROPE,FRA,FR-IDF,couperin/gustave-eiffel,https://ror.org/03x42jk29,NA,NA,NA,NA
CHU de Rennes,rennes_chu,CHU de Rennes,EUROPE,FRA,FR-BRE,couperin/chu-rennes,https://ror.org/05qec5a53,NA,NA,NA,NA
Université Polytechnique Hauts-de-France,up_hauts_de_france,Université Polytechnique Hauts-de-France,EUROPE,FRA,FR-HDF,couperin/polytechnique-hdf,https://ror.org/02ezch769,NA,NA,NA,NA
INRAE,inrae,"Institut national de recherche pour l'agriculture, l'alimentation et l'environnement (INRAE)",EUROPE,FRA,FR-IDF,couperin/inrae,https://ror.org/003vg9w96,NA,NA,NA,NA
European Synchrotron Radiation Facility (ESRF),esrf,European Synchrotron Radiation Facility (ESRF),EUROPE,FRA,FR-ARA,couperin/esrf,https://ror.org/02550n020,NA,NA,NA,NA
Ecole centrale de Lyon,centrale_lyon,Ecole centrale de Lyon,EUROPE,FRA,FR-ARA,couperin/centrale-lyon,https://ror.org/05s6rge65,NA,NA,NA,NA
Pädagogische Hochschule Zürich,phzh,Pädagogische Hochschule Zürich,EUROPE,CHE,CH.ZH,phzh,https://ror.org/01awgk221,NA,NA,https://phzh.ch/de/Forschung/grundsatze/open-access/,NA
South-Eastern Finland University of Applied Sciences (Xamk),xamk,South-Eastern Finland University of Applied Sciences (Xamk),EUROPE,FIN,FI-04,NA,https://ror.org/051v6v138,NA,NA,NA,NA
Seinäjoki University of Applied Sciences,seinäjoki_uas,Seinäjoki University of Applied Sciences,EUROPE,FIN,FI-03,NA,https://ror.org/036je1b38,NA,NA,NA,NA
Lapin ammattikorkeakoulu (fi),lapin_uas,Lapin ammattikorkeakoulu (Lapland University of Applied Sciences),EUROPE,FIN,FI-10,NA,https://ror.org/047h64h89,NA,NA,NA,NA
Halmstad University,halmstad_u,Halmstad University,EUROPE,SWE,SE-N,natlibswe/univ_halmstad,https://ror.org/03h0qfp10,NA,NA,NA,NA
IFW Dresden,ifw_dresden,Leibniz-Institut für Festkörper- und Werkstoffforschung Dresden,EUROPE,DEU,SN,ifw-dresden,https://ror.org/04zb59n70,INS,WGL,https://www.ifw-dresden.de/about-us/library,NA
Wuerzburg-Schweinfurt FH,fhws,Hochschule für Angewandte Wissenschaften Würzburg-Schweinfurt,EUROPE,DEU,BY,fhws,https://ror.org/01k5h5v15,HEI,NA,"https://bibliothek.fhws.de/en/advice/open-access/",NA
Hochschule Hannover,hsh,Hochschule Hannover,EUROPE,DEU,NI,hshannover,https://ror.org/03m2kj587,HEI,NA,https://www.hs-hannover.de/ueber-uns/organisation/bibliothek/services/publizieren-an-der-hsh/,NA
Université de Côte d'Azur,cote_azur_u,Université de Côte d'Azur,EUROPE,FRA,FR-PAC,couperin/cote-azur,https://ror.org/019tgvf94,NA,NA,NA,NA
IRSN,irsn,Institut de radioprotection et de sûreté nucléaire,EUROPE,FRA,FR-IDF,couperin/irsn,https://ror.org/01ha22c77,NA,NA,NA,NA
Bauhaus-Universität Weimar,weimar_u,Bauhaus-Universität Weimar,EUROPE,DEU,TH,uniweimar,https://ror.org/033bb5z47,HEI,NA,https://www.uni-weimar.de/en/university/structure/central-university-facilities/university-library/research/open-access/open-access-publication-fund/,NA
Universität Erfurt,erfurt_u,Universität Erfurt,EUROPE,DEU,TH,unierfurt,https://ror.org/03606hw36,HEI,NA,https://www.uni-erfurt.de/bibliothek/forschen-und-publizieren/publizieren-1/open-access-publikationsfonds,NA
Friedrich-Schiller-Universität Jena,fsu_jena,Friedrich-Schiller-Universität Jena,EUROPE,DEU,TH,fsu,https://ror.org/05qpz1x62,HEI,NA,https://www.thulb.uni-jena.de/services/forschung-/-lehre/open-access-/-elektronisches-publizieren/finanzierung,NA
University of Helsinki,helsinki_u,University of Helsinki,EUROPE,FIN,FI-18,unihelsinki,https://ror.org/040af2s02,NA,NA,https://www.helsinki.fi/en,NA
HAW Hamburg,haw_hamburg,Hamburg University of Applied Sciences,EUROPE,DEU,HH,haw_hamburg,https://ror.org/00fkqwx76,HEI,NA,https://www.haw-hamburg.de/hibs/publizieren/publikationsfonds/,NA
HHU Düsseldorf,hhu_duesseldorf,Heinrich-Heine-Universität Düsseldorf,EUROPE,DEU,NW,hhu_duesseldorf,https://ror.org/024z2rq82,HEI,NA,https://www.ulb.hhu.de/en/reseach-teaching-publishing/open-access/hhus-open-access-fund,NA
BTH Blekinge Institute of Technology,bth,BTH Blekinge Institute of Technology,EUROPE,SWE,SE-K,natlibswe/blekinge_inst_technology,https://ror.org/0093a8w51,NA,NA,NA,NA
Jönköping University,jonkoping_u,Jönköping University,EUROPE,SWE,SE-F,natlibswe/univ_jonkoping,https://ror.org/03t54am93,NA,NA,NA,NA
Catholic University of Eichstätt-Ingolstadt,kuei,Catholic University of Eichstätt-Ingolstadt,EUROPE,DEU,BY,ku_eichstaett_ingolstadt,https://ror.org/00mx91s63,HEI,NA,https://www.ku.de/bibliothek/forschen-und-publizieren/open-access,NA
Université Jean Moulin - Lyon III,lyon3_u,Université Jean Moulin - Lyon III,EUROPE,FRA,FR-ARA,couperin/lyon1,https://ror.org/05b5c0584,NA,NA,NA,NA
EURECOM,eurecom,EURECOM,EUROPE,FRA,FR-PAC,couperin/eurecom,https://ror.org/00sse7z02,NA,NA,NA,NA
Birkbeck College,birkbeck_u,"Birkbeck, University of London",EUROPE,GBR,ENG,NA,https://ror.org/02mb95055,NA,NA,NA,NA
Malawi Liverpool Wellcome,mlw,Malawi-Liverpool-Wellcome Clinical Research-Programme,EASTERN_AFRICA,MWI,MW-BL,NA,https://ror.org/03tebt685,NA,NA,NA,NA
Mahidol University of Oxford Tropical Medicine Research Unit,moru,Mahidol Oxford Tropical Medicine Research Unit,SOUTH_EASTERN_ASIA,THA,TH-10,NA,https://ror.org/03fs9z545,NA,NA,NA,NA
Oxford University Clinical Research Unit,oucru,Oxford University Clinical Research Unit,SOUTH_EASTERN_ASIA,VNM,VN-SG,NA,https://ror.org/05rehad94,NA,NA,NA,NA
Royal Veterinary College,rvc,Royal Veterinary College,EUROPE,GBR,ENG,NA,https://ror.org/01wka8n18,NA,NA,NA,NA
SWP - German Institute for International and Security Affairs,swp,SWP - German Institute for International and Security Affairs,EUROPE,DEU,BE,swp_berlin,https://ror.org/05frkc804,OTH,NA,https://www.swp-berlin.org/en/,NA
University of Vaasa,vaasa_u,University of Vaasa,EUROPE,FIN,FI-12,univaasa,https://ror.org/03769b225,NA,NA,https://www.uwasa.fi/en,NA
ENAC,enac,École Nationale de l'Aviation Civile,EUROPE,FRA,FR-OCC,couperin/enac,https://ror.org/022zdgq74,NA,NA,NA,NA
Åbo Akademi University,abo_akademi,Åbo Akademi University,EUROPE,FIN,FI-19,aboakademi,https://ror.org/029pk6x14,NA,NA,NA,NA
