*****CSV file analysis*****
CSV dialect sniffing:
--- Analysing line 1342 ---
   - Empty DOI, line deleted
--- Analysing line 1343 ---
   - Created period field ('2015') by parsing value '2015-12-10' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1439.28') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1575) by 1.0943 (EUR -> USD conversion rate on 2015-12-10) [fixer.io]
--- Analysing line 1344 ---
   - Created period field ('2015') by parsing value '2015-11-23' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1554.45') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1092) by 0.7025 (EUR -> GBP conversion rate on 2015-11-23) [fixer.io]
--- Analysing line 1345 ---
   - Created period field ('2015') by parsing value '2015-05-21' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1346 ---
   - Created period field ('2015') by parsing value '2015-12-17' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('966.14') by dividing the value in 'APC paid (actual currency) including VAT if charged' (702) by 0.7266 (EUR -> GBP conversion rate on 2015-12-17) [fixer.io]
--- Analysing line 1347 ---
   - Blacklisted pub type ('Book chapter'), line deleted
--- Analysing line 1348 ---
   - Empty DOI, line deleted
--- Analysing line 1349 ---
   - Created period field ('2015') by parsing value '2015-12-16' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1859.51') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2033) by 1.0933 (EUR -> USD conversion rate on 2015-12-16) [fixer.io]
--- Analysing line 1350 ---
   - Created period field ('2015') by parsing value '2015-08-26' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1578.67') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1800) by 1.1402 (EUR -> USD conversion rate on 2015-08-26) [fixer.io]
--- Analysing line 1351 ---
   - Created period field ('2015') by parsing value '2015-05-20' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1619.0') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1800) by 1.1118 (EUR -> USD conversion rate on 2015-05-20) [fixer.io]
--- Analysing line 1352 ---
   - Empty DOI, line deleted
--- Analysing line 1353 ---
   - Created period field ('2015') by parsing value '2015-11-11' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2986.19') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3200) by 1.0716 (EUR -> USD conversion rate on 2015-11-11) [fixer.io]
--- Analysing line 1354 ---
   - Created period field ('2015') by parsing value '2015-12-09' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2924.78') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3200) by 1.0941 (EUR -> USD conversion rate on 2015-12-09) [fixer.io]
--- Analysing line 1355 ---
   - Created period field ('2015') by parsing value '2015-10-19' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('5166.05') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3780) by 0.7317 (EUR -> GBP conversion rate on 2015-10-19) [fixer.io]
--- Analysing line 1356 ---
   - Created period field ('2015') by parsing value '2015-11-05' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('4715.13') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3360) by 0.7126 (EUR -> GBP conversion rate on 2015-11-05) [fixer.io]
--- Analysing line 1357 ---
   - Created period field ('2015') by parsing value '2015-12-10' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3980.65') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2880) by 0.7235 (EUR -> GBP conversion rate on 2015-12-10) [fixer.io]
--- Analysing line 1358 ---
   - Created period field ('2015') by parsing value '2015-10-08' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1612.82') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1188) by 0.7366 (EUR -> GBP conversion rate on 2015-10-08) [fixer.io]
--- Analysing line 1359 ---
   - Created period field ('2015') by parsing value '2015-10-19' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1623.62') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1188) by 0.7317 (EUR -> GBP conversion rate on 2015-10-19) [fixer.io]
--- Analysing line 1360 ---
   - Created period field ('2015') by parsing value '2015-12-10' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1642.02') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1188) by 0.7235 (EUR -> GBP conversion rate on 2015-12-10) [fixer.io]
--- Analysing line 1361 ---
   - Created period field ('2015') by parsing value '2015-11-16' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1683.2') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1188) by 0.7058 (EUR -> GBP conversion rate on 2015-11-16) [fixer.io]
--- Analysing line 1362 ---
   - Created period field ('2015') by parsing value '2015-12-14' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1363 ---
   - Created period field ('2015') by parsing value '2015-11-19' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('5401.54') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3780) by 0.6998 (EUR -> GBP conversion rate on 2015-11-19) [fixer.io]
--- Analysing line 1364 ---
   - Created period field ('2015') by parsing value '2015-10-26' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1653.67') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1188) by 0.7184 (EUR -> GBP conversion rate on 2015-10-26) [fixer.io]
--- Analysing line 1365 ---
   - Created period field ('2015') by parsing value '2015-11-12' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1681.77') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1188) by 0.7064 (EUR -> GBP conversion rate on 2015-11-12) [fixer.io]
--- Analysing line 1366 ---
   - Created period field ('2015') by parsing value '2015-11-12' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1681.77') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1188) by 0.7064 (EUR -> GBP conversion rate on 2015-11-12) [fixer.io]
--- Analysing line 1367 ---
   - Created period field ('2015') by parsing value '2015-11-23' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1691.1') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1188) by 0.7025 (EUR -> GBP conversion rate on 2015-11-23) [fixer.io]
--- Analysing line 1368 ---
   - Created period field ('2015') by parsing value '2015-11-23' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1691.1') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1188) by 0.7025 (EUR -> GBP conversion rate on 2015-11-23) [fixer.io]
--- Analysing line 1369 ---
   - Empty DOI, line deleted
--- Analysing line 1370 ---
   - Created period field ('2015') by parsing value '2015-11-12' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1681.77') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1188) by 0.7064 (EUR -> GBP conversion rate on 2015-11-12) [fixer.io]
--- Analysing line 1371 ---
   - Created period field ('2015') by parsing value '2015-12-17' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('954.71') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1035) by 1.0841 (EUR -> USD conversion rate on 2015-12-17) [fixer.io]
--- Analysing line 1372 ---
   - Created period field ('2015') by parsing value '2015-06-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1692.11') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1884) by 1.1134 (EUR -> USD conversion rate on 2015-06-03) [fixer.io]
--- Analysing line 1373 ---
   - Created period field ('2015') by parsing value '2015-10-14' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1273.44') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1453) by 1.141 (EUR -> USD conversion rate on 2015-10-14) [fixer.io]
--- Analysing line 1374 ---
   - Empty DOI, line deleted
--- Analysing line 1375 ---
   - Created period field ('2015') by parsing value '2015-10-15' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3244.56') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2400) by 0.7397 (EUR -> GBP conversion rate on 2015-10-15) [fixer.io]
--- Analysing line 1376 ---
   - Empty DOI, line deleted
--- Analysing line 1377 ---
   - Created period field ('2015') by parsing value '2015-11-04' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2892.59') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2052) by 0.7094 (EUR -> GBP conversion rate on 2015-11-04) [fixer.io]
--- Analysing line 1378 ---
   - Created period field ('2015') by parsing value '2015-10-15' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2703.8') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2000) by 0.7397 (EUR -> GBP conversion rate on 2015-10-15) [fixer.io]
--- Analysing line 1379 ---
   - Empty DOI, line deleted
--- Analysing line 1380 ---
   - Created period field ('2015') by parsing value '2015-10-01' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3257.77') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2400) by 0.7367 (EUR -> GBP conversion rate on 2015-10-01) [fixer.io]
--- Analysing line 1381 ---
   - Created period field ('2015') by parsing value '2015-10-12' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3242.81') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2400) by 0.7401 (EUR -> GBP conversion rate on 2015-10-12) [fixer.io]
--- Analysing line 1382 ---
   - Created period field ('2015') by parsing value '2015-07-22' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1383 ---
   - Empty DOI, line deleted
--- Analysing line 1384 ---
   - Created period field ('2015') by parsing value '2015-05-18' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3301.24') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2400) by 0.727 (EUR -> GBP conversion rate on 2015-05-18) [fixer.io]
--- Analysing line 1385 ---
   - Empty DOI, line deleted
--- Analysing line 1386 ---
   - Created period field ('2015') by parsing value '2015-11-16' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2040.24') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1440) by 0.7058 (EUR -> GBP conversion rate on 2015-11-16) [fixer.io]
--- Analysing line 1387 ---
   - Created period field ('2015') by parsing value '2015-11-02' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2019.07') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1440) by 0.7132 (EUR -> GBP conversion rate on 2015-11-02) [fixer.io]
--- Analysing line 1388 ---
   - Created period field ('2015') by parsing value '2015-10-19' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2788.03') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2040) by 0.7317 (EUR -> GBP conversion rate on 2015-10-19) [fixer.io]
--- Analysing line 1389 ---
   - Created period field ('2015') by parsing value '2015-10-01' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2769.11') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2040) by 0.7367 (EUR -> GBP conversion rate on 2015-10-01) [fixer.io]
--- Analysing line 1390 ---
   - Created period field ('2015') by parsing value '2015-10-28' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1391 ---
   - Created period field ('2015') by parsing value '2015-10-28' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1392 ---
   - Created period field ('2015') by parsing value '2015-10-28' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1393 ---
   - Created period field ('2015') by parsing value '2015-10-28' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1394 ---
   - Created period field ('2015') by parsing value '2015-10-28' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1395 ---
   - Created period field ('2015') by parsing value '2015-10-28' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1396 ---
   - Created period field ('2015') by parsing value '2015-10-28' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1397 ---
   - Drop mark found, line deleted
--- Analysing line 1398 ---
   - Drop mark found, line deleted
--- Analysing line 1399 ---
   - Drop mark found, line deleted
--- Analysing line 1400 ---
   - Drop mark found, line deleted
--- Analysing line 1401 ---
   - Empty DOI, line deleted
--- Analysing line 1402 ---
   - Drop mark found, line deleted
--- Analysing line 1403 ---
   - Drop mark found, line deleted
--- Analysing line 1404 ---
   - Empty DOI, line deleted
--- Analysing line 1405 ---
   - Drop mark found, line deleted
--- Analysing line 1406 ---
   - Empty DOI, line deleted
--- Analysing line 1407 ---
   - Drop mark found, line deleted
--- Analysing line 1408 ---
   - Created period field ('2015') by parsing value '2015-12-02' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2680.93') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2845) by 1.0612 (EUR -> USD conversion rate on 2015-12-02) [fixer.io]
--- Analysing line 1409 ---
   - Drop mark found, line deleted
--- Analysing line 1410 ---
   - Drop mark found, line deleted
--- Analysing line 1411 ---
   - Drop mark found, line deleted
--- Analysing line 1412 ---
   - Drop mark found, line deleted
--- Analysing line 1413 ---
   - Drop mark found, line deleted
--- Analysing line 1414 ---
   - Drop mark found, line deleted
--- Analysing line 1415 ---
   - Empty DOI, line deleted
--- Analysing line 1416 ---
   - Created period field ('2015') by parsing value '2015-10-06' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('958.1') by dividing the value in 'APC paid (actual currency) including VAT if charged' (708.9) by 0.7399 (EUR -> GBP conversion rate on 2015-10-06) [fixer.io]
--- Analysing line 1417 ---
   - Created period field ('2015') by parsing value '2015-11-27' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('763.12') by dividing the value in 'APC paid (actual currency) including VAT if charged' (536.4) by 0.7029 (EUR -> GBP conversion rate on 2015-11-27) [fixer.io]
--- Analysing line 1418 ---
   - Created period field ('2015') by parsing value '2015-12-01' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('762.36') by dividing the value in 'APC paid (actual currency) including VAT if charged' (536.4) by 0.7036 (EUR -> GBP conversion rate on 2015-12-01) [fixer.io]
--- Analysing line 1419 ---
   - Created period field ('2015') by parsing value '2015-08-19' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('760.96') by dividing the value in 'APC paid (actual currency) including VAT if charged' (536.4) by 0.7049 (EUR -> GBP conversion rate on 2015-08-19) [fixer.io]
--- Analysing line 1420 ---
   - Created period field ('2015') by parsing value '2015-11-05' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('752.74') by dividing the value in 'APC paid (actual currency) including VAT if charged' (536.4) by 0.7126 (EUR -> GBP conversion rate on 2015-11-05) [fixer.io]
--- Analysing line 1421 ---
   - Empty DOI, line deleted
--- Analysing line 1422 ---
   - Created period field ('2015') by parsing value '2015-02-10' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('727.76') by dividing the value in 'APC paid (actual currency) including VAT if charged' (540) by 0.742 (EUR -> GBP conversion rate on 2015-02-10) [fixer.io]
--- Analysing line 1423 ---
   - Created period field ('2015') by parsing value '2015-11-17' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('764.43') by dividing the value in 'APC paid (actual currency) including VAT if charged' (536.4) by 0.7017 (EUR -> GBP conversion rate on 2015-11-17) [fixer.io]
--- Analysing line 1424 ---
   - Created period field ('2015') by parsing value '2015-12-09' in column 'Date of APC payment'
   - Created euro field ('1500') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 1425 ---
   - Created period field ('2015') by parsing value '2015-11-04' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1426 ---
   - Created period field ('2015') by parsing value '2015-12-14' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1427 ---
   - Created period field ('2015') by parsing value '2015-07-13' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1428 ---
   - Created period field ('2015') by parsing value '2015-10-14' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1429 ---
   - Created period field ('2015') by parsing value '2015-10-24' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1430 ---
   - Created period field ('2015') by parsing value '2015-10-27' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1431 ---
   - Created period field ('2015') by parsing value '2015-10-30' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1432 ---
   - Created period field ('2015') by parsing value '2015-12-10' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1433 ---
   - Created period field ('2015') by parsing value '2015-10-30' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1434 ---
   - Created period field ('2015') by parsing value '2015-11-26' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1435 ---
   - Created period field ('2015') by parsing value '2015-12-17' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1436 ---
   - Empty DOI, line deleted
--- Analysing line 1437 ---
   - Created period field ('2015') by parsing value '2015-12-17' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1438 ---
   - Empty DOI, line deleted
--- Analysing line 1439 ---
   - Created period field ('2015') by parsing value '2015-12-21' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1440 ---
   - Created period field ('2015') by parsing value '2015-09-13' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1441 ---
   - Empty DOI, line deleted
--- Analysing line 1442 ---
   - Created period field ('2015') by parsing value '2015-10-28' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('4059.54') by dividing the value in 'APC paid (actual currency) including VAT if charged' (4500) by 1.1085 (EUR -> USD conversion rate on 2015-10-28) [fixer.io]
--- Analysing line 1443 ---
   - Created period field ('2015') by parsing value '2015-08-26' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3332.75') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3800) by 1.1402 (EUR -> USD conversion rate on 2015-08-26) [fixer.io]
--- Analysing line 1444 ---
   - Created period field ('2010') by parsing value '2010-08-11' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1445 ---
   - Created period field ('2015') by parsing value '2015-01-08' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2611.7') by dividing the value in 'APC paid (£) including VAT (calculated)' (2040) by 0.7811 (EUR -> GBP conversion rate on 2015-01-08) [fixer.io]
--- Analysing line 1446 ---
   - Empty DOI, line deleted
--- Analysing line 1447 ---
   - Empty DOI, line deleted
--- Analysing line 1448 ---
   - Created period field ('2015') by parsing value '2015-04-10' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2571.84') by dividing the value in 'APC paid (£) including VAT (calculated)' (1863.04) by 0.7244 (EUR -> GBP conversion rate on 2015-04-10) [fixer.io]
--- Analysing line 1449 ---
   - Created period field ('2015') by parsing value '2015-05-22' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1450 ---
   - Created period field ('2015') by parsing value '2015-04-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2870.42') by dividing the value in 'APC paid (£) including VAT (calculated)' (2100) by 0.7316 (EUR -> GBP conversion rate on 2015-04-03) [fixer.io]
--- Analysing line 1451 ---
   - Created period field ('2015') by parsing value '2015-04-21' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2504.52') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1800) by 0.7187 (EUR -> GBP conversion rate on 2015-04-21) [fixer.io]
--- Analysing line 1452 ---
   - Created period field ('2015') by parsing value '2015-04' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1453 ---
   - Created period field ('2015') by parsing value '2015-05-01' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2187.97') by dividing the value in 'APC paid (£) including VAT (calculated)' (1590) by 0.7267 (EUR -> GBP conversion rate on 2015-05-01) [fixer.io]
--- Analysing line 1454 ---
   - Created period field ('2015') by parsing value '2015' in column 'Year of publication'
   - Created euro field ('3306.51') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2400) by 0.72584 (avg EUR -> GBP conversion rate in 2015) [ECB]
--- Analysing line 1455 ---
   - Empty DOI, line deleted
--- Analysing line 1456 ---
   - Empty DOI, line deleted
--- Analysing line 1457 ---
   - Empty DOI, line deleted
--- Analysing line 1458 ---
   - Created period field ('2015') by parsing value '2015-06-17' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1459 ---
   - Created period field ('2015') by parsing value '2015-06-19' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3364.17') by dividing the value in 'APC paid (£) including VAT (calculated)' (2400) by 0.7134 (EUR -> GBP conversion rate on 2015-06-19) [fixer.io]
--- Analysing line 1460 ---
   - Created period field ('2015') by parsing value '2015-06-20' in column 'Date of initial application by author'
   - Created euro field ('3719.08') by dividing the value in 'APC paid (£) including VAT (calculated)' (2699.46) by 0.72584 (avg EUR -> GBP conversion rate in 2015) [ECB]
--- Analysing line 1461 ---
   - Created period field ('2015') by parsing value '2015-07-13' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1300.63') by dividing the value in 'APC paid (actual currency) including VAT if charged' (925.4) by 0.7115 (EUR -> GBP conversion rate on 2015-07-13) [fixer.io]
--- Analysing line 1462 ---
   - Created period field ('2015') by parsing value '2015-07' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1463 ---
   - Empty DOI, line deleted
--- Analysing line 1464 ---
   - Created period field ('2015') by parsing value '2015-07' in column 'Date of initial application by author'
   - Created euro field ('2583.21') by dividing the value in 'APC paid (£) including VAT (calculated)' (1875) by 0.72584 (avg EUR -> GBP conversion rate in 2015) [ECB]
--- Analysing line 1465 ---
   - Created period field ('2015') by parsing value '2015-08-18' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1466 ---
   - Created period field ('2015') by parsing value '2015-08-11' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1467 ---
   - Created period field ('2015') by parsing value '2015-07-30' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1468 ---
   - Created period field ('2015') by parsing value '2015-07-28' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3307.89') by dividing the value in 'APC paid (£) including VAT (calculated)' (2340) by 0.7074 (EUR -> GBP conversion rate on 2015-07-28) [fixer.io]
--- Analysing line 1469 ---
   - Created period field ('2015') by parsing value '2015-08-11' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1470 ---
   - Created period field ('2015') by parsing value '2015-08-17' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1928.22') by dividing the value in 'APC paid (£) including VAT (calculated)' (1370) by 0.7105 (EUR -> GBP conversion rate on 2015-08-17) [fixer.io]
--- Analysing line 1471 ---
   - Created period field ('2015') by parsing value '2015-08-26' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1472 ---
   - Created period field ('2015') by parsing value '2015-08-31' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('4123.54') by dividing the value in 'APC paid (£) including VAT (calculated)' (3000) by 0.72753 (EUR -> GBP conversion rate on 2015-08-31) [fixer.io]
--- Analysing line 1473 ---
   - Created period field ('2015') by parsing value '2015-08-31' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1632.92') by dividing the value in 'APC paid (£) including VAT (calculated)' (1188) by 0.72753 (EUR -> GBP conversion rate on 2015-08-31) [fixer.io]
--- Analysing line 1474 ---
   - Created period field ('2015') by parsing value '2015-09-01' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1475 ---
   - Created period field ('2015') by parsing value '2015-09-01' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1367.36') by dividing the value in 'APC paid (£) including VAT (calculated)' (1002) by 0.7328 (EUR -> GBP conversion rate on 2015-09-01) [fixer.io]
--- Analysing line 1476 ---
   - Created period field ('2015') by parsing value '2015-09-08' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3810.05') by dividing the value in 'APC paid (£) including VAT (calculated)' (2760) by 0.7244 (EUR -> GBP conversion rate on 2015-09-08) [fixer.io]
--- Analysing line 1477 ---
   - Created period field ('2015') by parsing value '2015-09-10' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1478 ---
   - Empty DOI, line deleted
--- Analysing line 1479 ---
   - Empty DOI, line deleted
--- Analysing line 1480 ---
   - Empty DOI, line deleted
--- Analysing line 1481 ---
   - Empty DOI, line deleted
--- Analysing line 1482 ---
   - Created period field ('2015') by parsing value '2015-09-23' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1483 ---
   - Created period field ('2015') by parsing value '2015-09-23' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1484 ---
   - Created period field ('2015') by parsing value '2015-09-23' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1485 ---
   - Empty DOI, line deleted
--- Analysing line 1486 ---
   - Created period field ('2015') by parsing value '2015-10-21' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2775.89') by dividing the value in 'APC paid (£) including VAT (calculated)' (2040) by 0.7349 (EUR -> GBP conversion rate on 2015-10-21) [fixer.io]
--- Analysing line 1487 ---
   - Created period field ('2015') by parsing value '2015-10-23' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('5253.28') by dividing the value in 'APC paid (£) including VAT (calculated)' (3780) by 0.71955 (EUR -> GBP conversion rate on 2015-10-23) [fixer.io]
--- Analysing line 1488 ---
   - Created period field ('2015') by parsing value '2015-10-26' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1489 ---
   - Created period field ('2015') by parsing value '2015-12-16' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 1490 ---
   - Created period field ('2015') by parsing value '2015-11-26' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2561.18') by dividing the value in 'APC paid (£) including VAT (calculated)' (1800) by 0.7028 (EUR -> GBP conversion rate on 2015-11-26) [fixer.io]
--- Analysing line 1491 ---
   - Created period field ('2015') by parsing value '2015-11-06' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2842.61') by dividing the value in 'APC paid (£) including VAT (calculated)' (2040) by 0.71765 (EUR -> GBP conversion rate on 2015-11-06) [fixer.io]
--- Analysing line 1492 ---
