"Publisher","Publisher_OAPC","Country","Country_OAPC","Organization","Annual publications","Start date","End date","ID","URL"
"Oxford University Press","Oxford University Press (OUP)","Hungary","HUN","EISZ","20","01/01/2023","31/12/2023","oxf2023eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2023eisz/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Hungary","HUN","EISZ","20","01/01/2023","31/12/2023","rsc2023eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2023eisz/"
"Springer Nature","Springer Nature","Hungary","HUN","EISZ","898","01/01/2023","31/12/2023","sn2023eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2023eisz/"
"Taylor & Francis","Informa UK Limited","Hungary","HUN","EISZ","47","01/01/2023","31/12/2023","tf2023eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2023eisz/"
"Walter de Gruyter","Walter de Gruyter GmbH","Hungary","HUN","EISZ","16","01/01/2023","31/12/2023","degruy2023eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2023eisz/"
"Wiley","Wiley-Blackwell","Hungary","HUN","EISZ","351","01/01/2023","31/12/2023","wiley2023eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2023eisz/"
"Wolters Kluwer Health","Ovid Technologies (Wolters Kluwer Health)","Hungary","HUN","EISZ","18","01/01/2023","31/12/2023","lww2023eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/lww2023eisz/"
"AIP Publishing","AIP Publishing","Ireland","IRL","IReL","21","01/01/2023","31/12/2025","aip2023ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2023ie/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Ireland","IRL","IReL","50","01/01/2023","31/12/2025","acm2023ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2023ie/"
"Company of Biologists","The Company of Biologists","Ireland","IRL","IReL","2","01/01/2023","31/12/2025","compbio2023ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2023ie/"
"Elsevier","Elsevier BV","Ireland","IRL","ScienceDirect Ireland Consortium","1671","01/01/2023","31/12/2025","els2023ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2023ie/"
"The Electrochemical Society","The Electrochemical Society","Ireland","IRL","IReL","4","01/01/2023","31/12/2023","ecs2023ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ecs2023ie/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Israel","NA","MALMAD","150","01/01/2023","31/12/2028","acm2023malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2023malmad/"
"Company of Biologists","The Company of Biologists","Israel","NA","MALMAD","10","01/01/2023","31/12/2025","compbio2023malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2023malmad/"
"Portland Press","Portland Press Ltd.","Israel","NA","MALMAD","5","01/01/2023","31/12/2025","portpress2023malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2023malmad/"
"Taylor & Francis","Informa UK Limited","Israel","NA","MALMAD","550","01/01/2023","31/12/2025","tf2023malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2023malmad/"
"AIP Publishing","AIP Publishing","Italy","ITA","CRUI-CARE","300","01/01/2023","31/12/2026","aip2023crui","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2023crui/"
"BMJ Publishing","BMJ","Italy","ITA","CRUI-CARE","60","01/01/2023","31/12/2024","bmj2023crui","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bmj2023crui/"
"Cambridge University Press","Cambridge University Press (CUP)","Italy","ITA","CRUI-CARE","500","01/01/2023","31/12/2025","cam2023crui","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2023crui/"
"Elsevier","Elsevier BV","Italy","ITA","CRUI-CARE","9000","01/01/2023","31/12/2027","els2023crui","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2023crui/"
"IOP Publishing","IOP Publishing","Italy","ITA","CRUI-CARE","500","01/01/2023","31/12/2025","iop2023crui","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023crui/"
"Walter de Gruyter","Walter de Gruyter GmbH","Italy","ITA","CRUI-CARE","170","01/01/2023","31/12/2025","degruy2023crui","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2023crui/"
"American Chemical Society","American Chemical Society (ACS)","Japan","NA","Tokyo Institute of Technology","140","01/01/2023","31/12/2025","acs2023titech","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2023titech/"
"Cambridge University Press","Cambridge University Press (CUP)","Japan","NA","Japan Alliance of University Library Consortia for E-Resources (JUSTICE)","80","01/01/2023","31/12/2025","cam2023justice","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2023justice/"
"Oxford University Press","Oxford University Press (OUP)","Japan","NA","Japan Alliance of University Library Consortia for E-Resources (JUSTICE)","236","01/01/2023","31/12/2025","oxf2023justice","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2023justice/"
"Springer Nature","Springer Nature","Japan","NA","Tohoku University, The University of Tokyo , Tokyo Institute of Technology, Yokohama National University, University of Fukui, Osaka University, Kobe University, Okayama University, Waseda University, Tokyo University of Science","900","01/01/2023","31/12/2025","sn2023ruc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2023ruc/"
"Taylor & Francis","Informa UK Limited","Japan","NA","Japan Alliance of University Library Consortia for E-Resources (JUSTICE)","46","01/01/2023","31/12/2025","tf2023justice","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2023justice/"
"Wiley","Wiley-Blackwell","Japan","NA","Japan Alliance of University Library Consortia for E-Resources (JUSTICE)","1130","01/01/2023","31/12/2023","wiley2023justice","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2023justice/"
"Cambridge University Press","Cambridge University Press (CUP)","Latvia","NA","Culture Information Systems Centre","10","01/01/2023","31/12/2023","cam2023kis","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2023kis/"
"Sage","SAGE Publications","Latvia","NA","Culture Information Systems Centre","10","01/01/2023","31/12/2023","sage2023kis","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2023kis/"
"American Chemical Society","American Chemical Society (ACS)","Lithuania","NA","Lithuanian Research Library Consortium","30","01/01/2023","31/12/2025","acs2023lmba","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2023lmba/"
"IOP Publishing","IOP Publishing","Lithuania","NA","Lithuanian Research Library Consortium","10","01/01/2023","31/12/2025","iop2023lmba","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023lmba/"
"Oxford University Press","Oxford University Press (OUP)","Lithuania","NA","Lithuanian Research Library Consortium","20","01/01/2023","31/12/2023","oxf2023lmba","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2023lmba/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Netherlands","NLD","University of Amsterdam","35","01/01/2023","31/12/2025","acm2023uva","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2023uva/"
"IOP Publishing","IOP Publishing","Netherlands","NLD","TU Delft","22","01/01/2023","31/12/2025","iop2023delft","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023delft/"
"IOP Publishing","IOP Publishing","Netherlands","NLD","Universiteit Leiden","30","01/01/2023","31/12/2025","iop2023leiden","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023leiden/"
"IOP Publishing","IOP Publishing","Netherlands","NLD","University of Amsterdam","20","01/01/2023","31/12/2025","iop2023uva","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023uva/"
"IOS Press","IOS Press","Netherlands","NLD","UKB/SURF","50","01/01/2023","31/12/2025","ios2023ukb","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ios2023ukb/"
"John Benjamins Publishing","NA","Netherlands","NLD","Radboud University","10","01/01/2023","31/12/2024","jbp2023ru","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2023ru/"
"John Benjamins Publishing","NA","Netherlands","NLD","Universiteit Leiden","12","01/01/2023","31/12/2023","jbp2023leiden","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2023leiden/"
"John Benjamins Publishing","NA","Netherlands","NLD","University of Amsterdam","10","01/01/2023","31/12/2023","jbp2023uva","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2023uva/"
"John Benjamins Publishing","NA","Netherlands","NLD","Utrecht University","12","01/01/2023","31/12/2023","jbp2023uu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2023uu/"
"Microbiology Society","Microbiology Society","Netherlands","NLD","University of Amsterdam","2","01/01/2023","31/12/2023","microbio2023uva","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2023uva/"
"Portland Press","Portland Press Ltd.","Netherlands","NLD","University of Amsterdam","2","01/01/2023","31/12/2025","portpress2023uva","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2023uva/"
"Rockefeller University Press","Rockefeller University Press","Netherlands","NLD","University of Amsterdam","1","01/01/2023","31/12/2023","rup2023uva","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2023uva/"
"SPIE","NA","Netherlands","NLD","TU Delft","5","01/01/2023","31/12/2023","spie2023delft","https://esac-initiative.org/about/transformative-agreements/agreement-registry/spie2023delft/"
"SPIE","NA","Netherlands","NLD","University of Amsterdam","2","01/01/2023","31/12/2023","spie2023uva","https://esac-initiative.org/about/transformative-agreements/agreement-registry/spie2023uva/"
"The Royal Society","The Royal Society","Netherlands","NLD","Eindhoven University of Technology","1","01/01/2023","31/12/2023","trs2023tue","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2023tue/"
"Walter de Gruyter","Walter de Gruyter GmbH","Netherlands","NLD","UKB/SURF","150","01/01/2023","31/12/2025","degruy2023ukb","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2023ukb/"
"White Horse Press","NA","Netherlands","NLD","Eindhoven University of Technology","3","01/01/2023","31/12/2023","whp2023tue","https://esac-initiative.org/about/transformative-agreements/agreement-registry/whp2023tue/"
"American Chemical Society","American Chemical Society (ACS)","Norway","NOR","Sikt (previously Unit)","130","01/01/2023","31/12/2024","acs2023sikt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2023sikt/"
"Cambridge University Press","Cambridge University Press (CUP)","Norway","NOR","Sikt (previously Unit)","100","01/01/2023","31/12/2024","cam2023sikt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2023sikt/"
"Company of Biologists","The Company of Biologists","Norway","NOR","UiT the Arctic University of Norway","2","01/01/2023","31/12/2024","compbio2023uit","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2023uit/"
"John Benjamins Publishing","NA","Norway","NOR","UiT the Arctic University of Norway","5","01/01/2023","31/12/2023","jbp2023uit","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2023uit/"
"Microbiology Society","Microbiology Society","Norway","NOR","UiT The Arctic University of Norway","2","01/01/2023","31/12/2024","microbio2023uit","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2023uit/"
"Oxford University Press","Oxford University Press (OUP)","Norway","NOR","Sikt (previously Unit)","210","01/01/2023","31/12/2024","oxf2023sikt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2023sikt/"
"Rockefeller University Press","Rockefeller University Press","Norway","NOR","UiT the Arctic University of Norway","2","01/01/2023","31/12/2024","rup2023uit","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2023uit/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Norway","NOR","UiT the Arctic University of Norway","1","01/01/2023","31/12/2025","rsc2023uit","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2023uit/"
"Sage","SAGE Publications","Norway","NOR","Sikt (previously Unit)","300","01/01/2023","31/12/2024","sage2023sikt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2023sikt/"
"Springer Nature","Springer Nature","Norway","NOR","Sikt (previously Unit)","830","01/01/2023","31/12/2024","sn2023sikt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2023sikt"
"Taylor & Francis","Informa UK Limited","Norway","NOR","Sikt (previously Unit)","850","01/01/2023","31/12/2024","tf2023sikt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2023sikt/"
"Wiley","Wiley-Blackwell","Norway","NOR","Sikt (previously Unit)","800","01/01/2023","31/12/2024","wiley2023sikt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2023sikt/"
"American Chemical Society","American Chemical Society (ACS)","Poland","NA","Consortium of 52 Polish academic institutions","400","01/01/2023","31/12/2025","acs2023pl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2023pl/"
"IOP Publishing","IOP Publishing","Poland","NA","Consortium of 32 Polish academic institutions","70","01/01/2023","31/12/2025","iop2023pl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023pl/"
"Oxford University Press","Oxford University Press (OUP)","Poland","NA","Consortium of 30 Polish academic institutions","70","01/01/2023","31/12/2023","oxf2023pl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2023pl/"
"Wolters Kluwer Health","Ovid Technologies (Wolters Kluwer Health)","Poland","NA","Consortium of 26 Polish academic institutions","20","01/01/2023","31/12/2023","lww2023pl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/lww2023pl/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Portugal","NA","b-on / FCT","30","01/01/2023","31/12/2024","rsc2023fct","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2023fct/"
"AIP Publishing","AIP Publishing","Saudi Arabia","NA","KAUST","17","01/01/2023","31/12/2025","aip2023kaust","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2023kaust/"
"American Chemical Society","American Chemical Society (ACS)","Saudi Arabia","NA","KAUST","100","01/01/2023","31/12/2025","acs2023kaust","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2023kaust/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Saudi Arabia","NA","KAUST","11","01/01/2023","31/12/2025","acm2023kaust","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2023kaust/"
"Inter-Research Science Publisher","NA","Saudi Arabia","NA","KAUST","3","01/01/2023","31/12/2024","ir2023kaust","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ir2023kaust/"
"IOP Publishing","IOP Publishing","Saudi Arabia","NA","KAUST","19","01/01/2023","31/12/2025","iop2023kaust","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023kaust/"
"The Royal Society","The Royal Society","Saudi Arabia","NA","KAUST","5","01/01/2023","31/12/2024","trs2023kaust","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2023kaust/"
"Cambridge University Press","Cambridge University Press (CUP)","Singapore","NA","National University of Singapore","30","01/01/2023","31/12/2025","cam2023nus","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2023nus/"
"Elsevier","Elsevier BV","Slovakia","NA","SKeLib (CVTI SR)","100","01/01/2023","31/12/2026","els2023skelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2023skelib/"
"IEEE","Institute of Electrical & Electronics Engineers (IEEE)","Slovakia","NA","SKeLib (CVTI SR)","23","01/01/2023","31/12/2026","ieee2023skelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ieee2023skelib/"
"Springer Nature","Springer Nature","Slovakia","NA","SKeLib (CVTI SR)","293","01/01/2023","31/12/2026","sn2023skelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2023skelib/"
"American Chemical Society","American Chemical Society (ACS)","Slovenia","NA","Slovenian Consortium CTK","75","01/01/2023","31/12/2024","acs2023slov","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2023slov/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Slovenia","NA","Slovenian Consortium CTK","35","01/01/2023","31/12/2023","rsc2023slov","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2023slov/"
"Sage","SAGE Publications","Slovenia","NA","COSEC Consortium","40","01/01/2023","31/12/2023","sage2023cosec","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2023cosec/"
"Springer Nature","Springer Nature","Slovenia","NA","Slovenian Consortium CTK","160","01/01/2023","31/12/2025","sn2023slov","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2023slov/"
"Taylor & Francis","Informa UK Limited","Slovenia","NA","COSEC Consortium","100","01/01/2023","31/12/2023","tf2023cosec","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2023cosec/"
"Walter de Gruyter","Walter de Gruyter GmbH","Slovenia","NA","COSEC Consortium","20","01/01/2023","31/12/2023","degruy2023cosec","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2023cosec/"
"American Chemical Society","American Chemical Society (ACS)","South Africa","NA","SANLiC","96","01/01/2023","31/12/2025","acs2023sanlic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2023sanlic/"
"Elsevier","Elsevier BV","South Africa","NA","SANLiC","2580","01/01/2023","31/12/2025","els2023sanlic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2023sanlic/"
"IOP Publishing","IOP Publishing","South Africa","NA","SANLiC","37","01/01/2023","31/12/2025","iop2023sanlic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023sanlic/"
"Oxford University Press","Oxford University Press (OUP)","South Africa","NA","SANLiC","174","01/01/2023","31/12/2025","oxf2023sanlic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2023sanlic/"
"Springer Nature","Springer Nature","South Africa","NA","SANLiC","1040","01/01/2023","31/12/2025","sn2023sanlic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2023sanlic/"
"Karger","S. Karger AG","South Korea","NA","KESLI","10","01/01/2023","31/12/2025","kar2023kesli","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2023kesli/"
"Brill","Brill","Spain","ESP","CSIC Spanish National Research Council","12","01/01/2023","31/12/2024","brill2023csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2023csic/"
"Cambridge University Press","Cambridge University Press (CUP)","Spain","ESP","CSIC Spanish National Research Council","40","01/01/2023","31/12/2025","cam2023csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2023csic/"
"IOP Publishing","IOP Publishing","Spain","ESP","CSIC Spanish National Research Council","50","01/01/2023","31/12/2025","iop2023csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023csic/"
"Portland Press","Portland Press Ltd.","Spain","ESP","CSIC Spanish National Research Council","4","01/01/2023","31/12/2024","portpress2023csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2023csic/"
"Rockefeller University Press","Rockefeller University Press","Spain","ESP","CSIC Spanish National Research Council","3","01/01/2023","31/12/2024","rup2023csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2023csic/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Spain","ESP","CSIC Spanish National Research Council","190","01/01/2023","31/08/2025","rsc2023csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2023csic/"
"The Royal Society","The Royal Society","Spain","ESP","CSIC Spanish National Research Council","22","01/01/2023","31/12/2023","trs2023csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2023csic/"
"Walter de Gruyter","Walter de Gruyter GmbH","Spain","ESP","CSIC Spanish National Research Council","12","01/01/2023","31/12/2025","degruy2023csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2023csic/"
"American Chemical Society","American Chemical Society (ACS)","Sweden","SWE","Bibsam Consortium","460","01/01/2023","31/12/2023","acs2023bibsam","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2023bibsam/"
"American Physical Society","American Physical Society (APS)","Sweden","SWE","Bibsam Consortium","195","01/01/2023","31/12/2025","aps2023bibsam","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aps2023bibsam/"
"BMJ Publishing","BMJ","Sweden","SWE","Bibsam Consortium","202","01/01/2023","31/12/2025","bmj2023bibsam","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bmj2023bibsam/"
"IWA Publishing","NA","Sweden","SWE","Bibsam Consortium","10","01/01/2023","31/12/2025","iwa2023bibsam","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iwa2023bibsam/"
"John Benjamins Publishing","NA","Sweden","SWE","Bibsam Consortium","18","01/01/2023","31/12/2024","jbp2023bibsam","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2023bibsam/"
"Portland Press","Portland Press Ltd.","Sweden","SWE","Bibsam Consortium","10","01/01/2023","31/12/2023","portpress2023bibsam","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2023bibsam/"
"The Royal Society","The Royal Society","Sweden","SWE","Bibsam Consortium","46","01/01/2023","31/12/2024","trs2023bibsam","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2023bibsam/"
"American Chemical Society","American Chemical Society (ACS)","Switzerland","CHE","Consortium of Swiss Academic Libraries","580","01/01/2023","31/12/2025","acs2023csal","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2023csal/"
"Bioscientifica","NA","Switzerland","CHE","Université de Genève","1","01/01/2023","31/12/2023","biosci2023unige","https://esac-initiative.org/about/transformative-agreements/agreement-registry/biosci2023unige/"
"Company of Biologists","The Company of Biologists","Switzerland","CHE","Université de Genève","4","01/01/2023","31/12/2025","compbio2023unige","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2023unige/"
"Future Science Group","NA","Switzerland","CHE","Université de Genève","3","01/01/2023","31/12/2024","fsg2023unige","https://esac-initiative.org/about/transformative-agreements/agreement-registry/fsg2023unige/"
"IOP Publishing","IOP Publishing","Switzerland","CHE","CERN","240","01/01/2023","31/12/2025","iop2023cern","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023cern/"
"Karger","S. Karger AG","Switzerland","CHE","Consortium of Swiss Academic Libraries","60","01/01/2023","31/12/2025","kar2023csal","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2023csal/"
"Microbiology Society","Microbiology Society","Switzerland","CHE","Université de Genève","1","01/01/2023","31/12/2023","microbio2023unige","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2023unige/"
"Oxford University Press","Oxford University Press (OUP)","Switzerland","CHE","Consortium of Swiss Academic Libraries","340","01/01/2023","31/12/2024","oxf2023csal","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2023csal/"
"Portland Press","Portland Press Ltd.","Switzerland","CHE","Université de Genève","1","01/01/2023","31/12/2023","portpress2023unige","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2023unige/"
"Rockefeller University Press","Rockefeller University Press","Switzerland","CHE","Université de Genève","2","01/01/2023","31/12/2023","rup2023unige","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2023unige/"
"Sage","SAGE Publications","Switzerland","CHE","Consortium of Swiss Academic Libraries","280","01/01/2023","31/12/2025","sage2023csal","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2023csal/"
"Springer Nature","Springer Nature","Switzerland","CHE","Consortium of Swiss Academic Libraries","1400","01/01/2023","31/12/2025","sn2023csal","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2023csal/"
"Springer Nature","Springer Nature","Switzerland","CHE","Consortium of Swiss Academic Libraries","136","01/01/2023","31/12/2025","sn2023csal2","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2023csal2/"
"IOP Publishing","IOP Publishing","Turkey","NA","ANKOS (Anatolian University Libraries Consortium)","39","01/01/2023","31/12/2025","iop2023ankos","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023ankos/"
"Wiley","Wiley-Blackwell","Turkey","NA","EKUAL/TUBITAK","1500","01/01/2023","31/12/2025","wiley2023tubitak","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2023tubitak/"
"Akadémiai Kiadó","Akademiai Kiado Zrt.","United Kingdom","GBR","Jisc","15","01/01/2023","31/12/2025","kia2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kia2023jisc/"
"American Meteorological Society","NA","United Kingdom","GBR","Jisc","100","01/01/2023","31/12/2024","ams2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ams2023jisc/"
"American Physical Society","American Physical Society (APS)","United Kingdom","GBR","Jisc","729","01/01/2023","31/12/2025","aps2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aps2023jisc/"
"American Physiological Society","NA","United Kingdom","GBR","Jisc","58","01/01/2023","31/12/2024","aphys2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aphys2023jisc/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","United Kingdom","GBR","Jisc","925","01/01/2023","31/12/2025","acm2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2023jisc/"
"Bioscientifica","NA","United Kingdom","GBR","Jisc","35","01/01/2023","31/12/2024","biosci2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/biosci2023jisc/"
"BMJ Publishing","BMJ","United Kingdom","GBR","Jisc","182","01/01/2023","31/12/2024","bmj2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bmj2023jisc/"
"Brill","Brill","United Kingdom","GBR","Jisc","250","01/01/2023","31/12/2026","brill2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2023jisc/"
"Brill","Brill","United Kingdom","GBR","Jisc","50","01/01/2023","31/12/2026","brill2023shedl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2023shedl/"
"Cold Spring Harbor Laboratory Press","Cold Spring Harbor Laboratory Press","United Kingdom","GBR","Jisc","44","01/01/2023","31/12/2024","cshl2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cshl2023jisc/"
"Edward Elgar Publishing","NA","United Kingdom","GBR","Jisc","50","01/01/2023","31/12/2023","eep2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/eep2023jisc/"
"Future Science Group","NA","United Kingdom","GBR","Jisc","114","01/01/2023","31/12/2023","fsg2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/fsg2023jisc/"
"Future Science Group","NA","United Kingdom","GBR","UK Health Security Agency (UKHSA)","1","01/01/2023","31/12/2023","fsg2023ukhsa","https://esac-initiative.org/about/transformative-agreements/agreement-registry/fsg2023ukhsa/"
"Karger","S. Karger AG","United Kingdom","GBR","Jisc","15","01/01/2023","31/12/2025","kar2023shedl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2023shedl/"
"Microbiology Society","Microbiology Society","United Kingdom","GBR","Jisc","114","01/01/2023","31/12/2024","microbio2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2023jisc/"
"Microbiology Society","Microbiology Society","United Kingdom","GBR","UK Health Security Agency (UKHSA)","16","01/01/2023","31/12/2025","microbio2023ukhsa","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2023ukhsa/"
"Portland Press","Portland Press Ltd.","United Kingdom","GBR","Jisc","129","01/01/2023","31/12/2023","portpress2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2023jisc/"
"Radiological Society of North America","NA","United Kingdom","GBR","Jisc","10","01/01/2023","31/12/2024","rsna2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsna2023jisc/"
"Royal College of General Practitioners","NA","United Kingdom","GBR","Jisc","62","01/01/2023","31/12/2024","rcgp2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rcgp2023jisc/"
