Institution;Period; EURO ;DOI;is_hybrid;Publisher;Journal_full_title;Funding Programme;Note
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
Austrian Science Fund (FWF);2021;540,60 ;10.1016/j.dib.2020.106041;FALSE;ELSEVIER;Data in Brief;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;636,00 ;10.1016/j.dib.2020.105984;FALSE;ELSEVIER;Data in Brief;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;684,00 ;10.1016/j.jare.2020.04.015;FALSE;ELSEVIER;Journal of Advanced Research;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.236,00 ;10.1016/j.cor.2020.105125;TRUE;ELSEVIER;Computers and Operations Research;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.236,00 ;10.1016/j.resourpol.2019.02.010;TRUE;ELSEVIER;Resources Policy;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.254,60 ;10.1016/j.aeaoa.2020.100076;FALSE;ELSEVIER;Atmospheric Environment: X;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.368,00 ;10.1016/j.cities.2021.103169;TRUE;ELSEVIER;Cities;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.580,00 ;10.1016/j.pacs.2020.100191;FALSE;ELSEVIER;Photoacoustics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.788,00 ;10.1016/j.dendro.2020.125781;TRUE;ELSEVIER;Dendrochronologia;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.800,00 ;10.1016/j.ejtd.2020.100163;TRUE;ELSEVIER;European Journal of Trauma & Dissociation;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.860,00 ;10.1016/j.ijresmar.2020.02.004;TRUE;ELSEVIER;International Journal of Research in Marketing;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.885,20 ;10.1016/j.jmacro.2020.103262;TRUE;ELSEVIER;Journal of Macroeconomics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.995,00 ;10.1016/j.matdes.2020.109187;FALSE;ELSEVIER;Materials & Design;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.100,00 ;10.1016/j.matdes.2021.109844;FALSE;ELSEVIER;Materials & Design;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.233,80 ;10.1016/j.neo.2020.12.011;FALSE;ELSEVIER;Neoplasia;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.256,00 ;10.1016/j.compmedimag.2020.101798;TRUE;ELSEVIER;Computerized Medical Imaging and Graphics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.299,00 ;10.1016/j.matdes.2021.109451;FALSE;ELSEVIER;Materials & Design;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.628,00 ;10.1016/j.mcpro.2021.100095;FALSE;ELSEVIER;Molecular and Cellular Proteomics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.698,30 ;10.1016/j.matdes.2021.110099;FALSE;ELSEVIER;Materials & Design;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.730,00 ;10.1016/j.celrep.2020.108292;FALSE;ELSEVIER;Cell Reports;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.759,00 ;10.1093/ejcts/ezaa335;TRUE;ELSEVIER;European Journal of Cardio-thoracic Surgery;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.000,00 ;10.1016/j.nicl.2020.102433;FALSE;ELSEVIER;NeuroImage: Clinical;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.002,48 ;10.1016/j.omtn.2020.07.020;FALSE;ELSEVIER;Molecular Therapy - Nucleic Acids;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.002,48 ;10.1016/j.omtn.2019.09.021;FALSE;ELSEVIER;Molecular Therapy - Nucleic Acids;Peer-Reviewed Publications ;
