"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Freiburg U",2015,1661.24,"10.1186/s12888-015-0552-4",FALSE,"Springer Nature","BMC Psychiatry","1471-244X",NA,"1471-244X",NA,TRUE,"26231521","PMC4522073",NA,NA,TRUE
"Freiburg U",2015,1566.04,"10.1186/s12987-015-0008-8",FALSE,"Springer Nature","Fluids and Barriers of the CNS","2045-8118",NA,"2045-8118",NA,TRUE,"25975424","PMC4489031",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12909-015-0413-3",FALSE,"Springer Nature","BMC Medical Education","1472-6920",NA,"1472-6920",NA,TRUE,"26286447","PMC4544825",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12888-015-0623-6",FALSE,"Springer Nature","BMC Psychiatry","1471-244X",NA,"1471-244X",NA,TRUE,"26446584","PMC4597607",NA,NA,TRUE
"Freiburg U",2015,842.52,"10.1186/s13705-015-0045-9",FALSE,"Springer Nature","Energy, Sustainability and Society","2192-0567",NA,"2192-0567",NA,TRUE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12886-015-0068-1",FALSE,"Springer Nature","BMC Ophthalmology","1471-2415",NA,"1471-2415",NA,TRUE,"26219961","PMC4517400",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12944-015-0070-x",FALSE,"Springer Nature","Lipids in Health and Disease","1476-511X",NA,"1476-511X",NA,TRUE,"26162894","PMC4499168",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s13063-015-0801-3",FALSE,"Springer Nature","Trials","1745-6215",NA,"1745-6215",NA,TRUE,"26116561","PMC4486426",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12955-015-0359-5",FALSE,"Springer Nature","Health and Quality of Life Outcomes","1477-7525",NA,"1477-7525",NA,TRUE,"26420426","PMC4588313",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s13030-015-0041-5",FALSE,"Springer Nature","BioPsychoSocial Medicine","1751-0759",NA,"1751-0759","http://creativecommons.org/licenses/by/4.0",TRUE,"26019721","PMC4445298",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12911-015-0153-7",FALSE,"Springer Nature","BMC Medical Informatics and Decision Making","1472-6947",NA,"1472-6947",NA,TRUE,"25927192","PMC4456699",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12943-015-0424-z",FALSE,"Springer Nature","Molecular Cancer","1476-4598",NA,"1476-4598",NA,TRUE,"26250552","PMC4528907",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12864-015-1768-x",FALSE,"Springer Nature","BMC Genomics","1471-2164",NA,"1471-2164",NA,TRUE,"26220445","PMC4518706",NA,NA,TRUE
"Freiburg U",2015,2018.24,"10.1186/s12915-015-0180-y",FALSE,"Springer Nature","BMC Biology","1741-7007",NA,"1741-7007",NA,TRUE,"26358077","PMC4565019",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12890-015-0070-7",FALSE,"Springer Nature","BMC Pulmonary Medicine","1471-2466",NA,"1471-2466",NA,TRUE,"26204953","PMC4513400",NA,NA,TRUE
"Freiburg U",2015,1961.12,"10.1186/s12931-015-0264-9",FALSE,"Springer Nature","Respiratory Research","1465-993X",NA,"1465-993X",NA,TRUE,"26369416","PMC4570657",NA,NA,FALSE
"Freiburg U",2015,1832.6,"10.1186/s13023-015-0321-y",FALSE,"Springer Nature","Orphanet Journal of Rare Diseases","1750-1172",NA,"1750-1172",NA,TRUE,"26289392","PMC4545930",NA,NA,TRUE
"Freiburg U",2015,952,"10.1186/s13104-015-1284-8",FALSE,"Springer Nature","BMC Research Notes","1756-0500",NA,"1756-0500",NA,TRUE,"26219353","PMC4518881",NA,NA,TRUE
"Freiburg U",2015,1504.16,"10.1186/s13756-015-0079-y",FALSE,"Springer Nature","Antimicrobial Resistance and Infection Control","2047-2994",NA,"2047-2994",NA,TRUE,"26448861","PMC4596416",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12893-015-0097-y",FALSE,"Springer Nature","BMC Surgery","1471-2482",NA,"1471-2482",NA,TRUE,"26444274","PMC4596306",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12874-015-0060-8",FALSE,"Springer Nature","BMC Medical Research Methodology","1471-2288",NA,"1471-2288",NA,TRUE,"26227148","PMC4521472",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12883-015-0515-x",FALSE,"Springer Nature","BMC Neurology","1471-2377",NA,"1471-2377",NA,TRUE,"26830688","PMC4676889",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12872-015-0118-x",FALSE,"Springer Nature","BMC Cardiovascular Disorders","1471-2261",NA,"1471-2261",NA,TRUE,"26494488","PMC4619014",NA,NA,TRUE
